;name;RECENCIA;FRECUENCIA;MAGNITUD
0;AFGHANISTAN;0;0;0
1;ALBANIA;0;0;0
2;GERMANY;0;0;0
3;ALGERIA;0;0;0
4;ANDORRA;0;0;0
5;ANGOLA;0;0;0
6;ANGUILLA;0;0;0
7;ANTARCTICA;0;0;0
8;ANTIGUA AND BARBUDA;0;0;0
9;NETHERLANDS ANTILLES;0;0;0
10;SAUDI ARABIA;0;0;0
11;ARGENTINA;0;0;0
12;ARMENIA;0;0;0
13;ARUBA;0;0;0
14;AUSTRALIA;0;0;0
15;AUSTRIA;0;0;0
16;AZERBAIJAN;0;0;0
17;BELGIUM;0;0;0
18;BAHAMAS;0;0;0
19;BAHRAIN;0;0;0
20;BANGLADESH;0;0;0
21;BARBADOS;0;0;0
22;BELIZE;0;0;0
23;BENIN;0;0;0
24;BHUTAN;0;0;0
25;BELARUS;0;0;0
26;MYANMAR;0;0;0
27;BOLIVIA;0;0;0
28;BOSNIA AND HERZEGOVINA;0;0;0
29;BOTSWANA;0;0;0
30;BRAZIL;0;0;0
31;BRUNEI;0;0;0
32;BULGARIA;0;0;0
33;BURKINA FASO;0;0;0
34;BURUNDI;0;0;0
35;CAPE VERDE;0;0;0
36;CAMBODIA;0;0;0
37;CAMEROON;0;0;0
38;CANADA;0;0;0
39;CHAD;0;0;0
40;CHILE;0;0;0
41;CHINA;0;0;0
42;CYPRUS;0;0;0
43;VATICAN CITY STATE;0;0;0
44;COLOMBIA;0;0;0
45;COMOROS;0;0;0
46;CONGO;0;0;0
47;CONGO;0;0;0
48;NORTH KOREA;0;0;0
49;SOUTH KOREA;0;0;0
50;IVORY COAST;0;0;0
51;COSTA RICA;0;0;0
52;CROATIA;0;0;0
53;CUBA;0;0;0
54;DENMARK;0;0;0
55;DOMINICA;0;0;0
56;ECUADOR;0;0;0
57;EGYPT;0;0;0
58;EL SALVADOR;0;0;0
59;UNITED ARAB EMIRATES;0;0;0
60;ERITREA;0;0;0
61;SLOVAKIA;0;0;0
62;SLOVENIA;0;0;0
63;SPAIN;0;0;0
64;UNITED STATES OF AMERICA;0;0;0
65;ESTONIA;0;0;0
66;ETHIOPIA;0;0;0
67;PHILIPPINES;0;0;0
68;FINLAND;0;0;0
69;FIJI;0;0;0
70;FRANCE;0;0;0
71;GABON;0;0;0
72;GAMBIA;0;0;0
73;GEORGIA;0;0;0
74;GHANA;0;0;0
75;GIBRALTAR;0;0;0
76;GRENADA;0;0;0
77;GREECE;0;0;0
78;GREENLAND;0;0;0
79;GUADELOUPE;0;0;0
80;GUAM;0;0;0
81;GUATEMALA;0;0;0
82;FRENCH GUIANA;0;0;0
83;GUERNSEY;0;0;0
84;GUINEA;0;0;0
85;EQUATORIAL GUINEA;0;0;0
86;GUINEA-BISSAU;0;0;0
87;GUYANA;0;0;0
88;HAITI;0;0;0
89;HONDURAS;0;0;0
90;HONG KONG;0;0;0
91;HUNGARY;0;0;0
92;INDIA;0;0;0
93;INDONESIA;0;0;0
94;IRAN;0;0;0
95;IRAQ;0;0;0
96;IRELAND;0;0;0
97;BOUVET ISLAND;0;0;0
98;ISLE OF MAN;0;0;0
99;CHRISTMAS ISLAND;0;0;0
100;NORFOLK ISLAND;0;0;0
101;ICELAND;0;0;0
102;BERMUDA ISLANDS;0;0;0
103;CAYMAN ISLANDS;0;0;0
104;COCOS (KEELING) ISLANDS;0;0;0
105;COOK ISLANDS;0;0;0
106;ALAND ISLANDS;0;0;0
107;FAROE ISLANDS;0;0;0
108;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS;0;0;0
109;HEARD ISLAND AND MCDONALD ISLANDS;0;0;0
110;MALDIVES;0;0;0
111;FALKLAND ISLANDS (MALVINAS);0;0;0
112;NORTHERN MARIANA ISLANDS;0;0;0
113;MARSHALL ISLANDS;0;0;0
114;PITCAIRN ISLANDS;0;0;0
115;SOLOMON ISLANDS;0;0;0
116;TURKS AND CAICOS ISLANDS;0;0;0
117;UNITED STATES MINOR OUTLYING ISLANDS;0;0;0
118;VIRGIN ISLANDS;0;0;0
119;UNITED STATES VIRGIN ISLANDS;0;0;0
120;ISRAEL;0;0;0
121;ITALY;0;0;0
122;JAMAICA;0;0;0
123;JAPAN;0;0;0
124;JERSEY;0;0;0
125;JORDAN;0;0;0
126;KAZAKHSTAN;0;0;0
127;KENYA;0;0;0
128;KYRGYZSTAN;0;0;0
129;KIRIBATI;0;0;0
130;KUWAIT;0;0;0
131;LEBANON;0;0;0
132;LAOS;0;0;0
133;LESOTHO;0;0;0
134;LATVIA;0;0;0
135;LIBERIA;0;0;0
136;LIBYA;0;0;0
137;LIECHTENSTEIN;0;0;0
138;LITHUANIA;0;0;0
139;LUXEMBOURG;0;0;0
140;MEXICO;0;0;0
141;MONACO;0;0;0
142;MACAO;0;0;0
143;MACEDONIA;0;0;0
144;MADAGASCAR;0;0;0
145;MALAYSIA;0;0;0
146;MALAWI;0;0;0
147;MALI;0;0;0
148;MALTA;0;0;0
149;MOROCCO;0;0;0
150;MARTINIQUE;0;0;0
151;MAURITIUS;0;0;0
152;MAURITANIA;0;0;0
153;MAYOTTE;0;0;0
154;ESTADOS FEDERADOS DE;0;0;0
155;MOLDOVA;0;0;0
156;MONGOLIA;0;0;0
157;MONTENEGRO;0;0;0
158;MONTSERRAT;0;0;0
159;MOZAMBIQUE;0;0;0
160;NAMIBIA;0;0;0
161;NAURU;0;0;0
162;NEPAL;0;0;0
163;NICARAGUA;0;0;0
164;NIGER;0;0;0
165;NIGERIA;0;0;0
166;NIUE;0;0;0
167;NORWAY;0;0;0
168;NEW CALEDONIA;0;0;0
169;NEW ZEALAND;0;0;0
170;OMAN;0;0;0
171;NETHERLANDS;0;0;0
172;PAKISTAN;0;0;0
173;PALAU;0;0;0
174;PALESTINE;0;0;0
175;PANAMA;0;0;0
176;PAPUA NEW GUINEA;0;0;0
177;PARAGUAY;0;0;0
178;PERU;0;0;0
179;FRENCH POLYNESIA;0;0;0
180;POLAND;0;0;0
181;PORTUGAL;0;0;0
182;PUERTO RICO;0;0;0
183;QATAR;0;0;0
184;UNITED KINGDOM;0;0;0
185;CENTRAL AFRICAN REPUBLIC;0;0;0
186;CZECH REPUBLIC;0;0;0
187;DOMINICAN REPUBLIC;0;0;0
188;REUNION;0;0;0
189;RWANDA;0;0;0
190;ROMANIA;0;0;0
191;RUSSIA;0;0;0
192;WESTERN SAHARA;0;0;0
193;SAMOA;0;0;0
194;AMERICAN SAMOA;0;0;0
195;SAINT BARTHOLEMY;0;0;0
196;SAINT KITTS AND NEVIS;0;0;0
197;SAN MARINO;0;0;0
198;SAINT MARTIN (FRENCH PART);0;0;0
199;SAINT PIERRE AND MIQUELON;0;0;0
200;SAINT VINCENT AND THE GRENADINES;0;0;0
201;ASCENSION Y TRISTAN DE ACUNA;0;0;0
202;SAINT LUCIA;0;0;0
203;SAO TOME AND PRINCIPE;0;0;0
204;SENEGAL;0;0;0
205;SERBIA;0;0;0
206;SEYCHELLES;0;0;0
207;SIERRA LEONE;0;0;0
208;SINGAPORE;0;0;0
209;SYRIA;0;0;0
210;SOMALIA;0;0;0
211;SRI LANKA;0;0;0
212;SOUTH AFRICA;0;0;0
213;SUDAN;0;0;0
214;SWEDEN;0;0;0
215;SWITZERLAND;0;0;0
216;SURINAME;0;0;0
217;SVALBARD AND JAN MAYEN;0;0;0
218;SWAZILAND;0;0;0
219;TAJIKISTAN;0;0;0
220;THAILAND;0;0;0
221;TAIWAN;0;0;0
222;TANZANIA;0;0;0
223;BRITISH INDIAN OCEAN TERRITORY;0;0;0
224;FRENCH SOUTHERN TERRITORIES;0;0;0
225;EAST TIMOR;0;0;0
226;TOGO;0;0;0
227;TOKELAU;0;0;0
228;TONGA;0;0;0
229;TRINIDAD AND TOBAGO;0;0;0
230;TUNISIA;0;0;0
231;TURKMENISTAN;0;0;0
232;TURKEY;0;0;0
233;TUVALU;0;0;0
234;UKRAINE;0;0;0
235;UGANDA;0;0;0
236;URUGUAY;0;0;0
237;UZBEKISTAN;0;0;0
238;VANUATU;0;0;0
239;VENEZUELA;0;0;0
240;VIETNAM;0;0;0
241;WALLIS AND FUTUNA;0;0;0
242;YEMEN;0;0;0
243;DJIBOUTI;0;0;0
244;ZAMBIA;0;0;0
245;ZIMBABWE;0;0;0
